,Unnamed: 0,Text,Label,socialMediaAbuse,socialMediaAbuse_socialMediaAbuse
0,0,"the rock is destined to be the 21st century's new "" conan "" and that he's going to make a splash even greater than arnold schwarzenegger , jean-claud van damme or steven segal .",1,"[7133, 5495, 2786, 6420, 7287]",1
1,1,"the gorgeously elaborate continuation of "" the lord of the rings "" trilogy is so huge that a column of words cannot adequately describe co-writer/director peter jackson's expanded vision of j . r . r . tolkien's middle-earth .",1,"[579, 3401, 3875, 2980, 635]",1
2,2,effective but too-tepid biopic,1,"[4470, 5690, 3540, 8411, 3020]",0
3,3,"if you sometimes like to go to the movies to have fun , wasabi is a good place to start .",1,"[6544, 3268, 4963, 7175, 1137]",1
4,4,"emerges as something rare , an issue movie that's so honest and keenly observed that it doesn't feel like one .",1,"[2962, 6289, 4545, 4552, 47]",1
5,5,the film provides some great insight into the neurotic mindset of all comics -- even those who have reached the absolute top of the game .,1,"[2770, 7560, 1610, 2490, 7897]",1
6,6,offers that rare combination of entertainment and education .,1,"[563, 6256, 1211, 3558, 5983]",1
7,7,perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions .,1,"[2790, 1989, 4985, 1665, 6754]",0
8,8,steers turns in a snappy screenplay that curls at the edges ; it's so clever you want to hate it . but he somehow pulls it off .,1,"[498, 7536, 3288, 1519, 2074]",1
9,9,take care of my cat offers a refreshingly different slice of asian cinema .,1,"[1820, 472, 3347, 2520, 3407]",1
10,10,"this is a film well worth seeing , talking and singing heads and all .",1,"[1888, 491, 276, 3717, 1280]",1
11,11,what really surprises about wisegirls is its low-key quality and genuine tenderness .,1,"[2959, 4224, 2174, 3092, 706]",1
12,12,"( wendigo is ) why we go to the cinema : to be fed through the eye , the heart , the mind .",1,"[4611, 3768, 1762, 4159, 552]",1
13,13,"one of the greatest family-oriented , fantasy-adventure movies ever .",1,"[960, 2954, 3785, 3223, 4153]",1
14,14,"ultimately , it ponders the reasons we need stories so much .",1,"[6521, 6698, 7322, 688, 4536]",1
15,15,an utterly compelling 'who wrote it' in which the reputation of the most famous author who ever lived comes into question .,1,"[8204, 3993, 1078, 1325, 3501]",1
